timestamp,measurements.token_pool_rate_primary
1698562800,0.0
1698562815,0.0
1698562830,0.0
1698562845,0.0
1698562860,0.0
1698562875,0.0
1698562890,0.0
1698562905,0.0
1698562920,0.0
1698562935,0.0
1698562950,0.0
1698562965,0.0
1698562980,0.0
1698562995,0.0
1698563010,0.0
1698563025,0.0
1698563040,0.0
1698563055,0.0
1698563070,0.0
1698563085,0.0
1698563100,0.0
1698563115,0.0
1698563130,0.0
1698563145,0.0
1698563160,0.0
1698563175,0.0
1698563190,0.0
1698563205,0.0
1698563220,0.0
1698563235,0.0
1698563250,0.0
1698563265,0.0
1698563280,0.0
1698563295,0.0
1698563310,0.0
1698563325,0.0
1698563340,0.0
1698563355,0.0
1698563370,0.0
1698563385,0.0
1698563400,0.0
1698563415,0.0
1698563430,0.0
1698563445,0.0
1698563460,0.0
1698563475,0.0
1698563490,0.0
1698563505,0.0
1698563520,0.0
1698563535,0.0
1698563550,0.0
1698563565,0.0
1698563580,0.0
1698563595,0.0
1698563610,0.0
1698563625,0.0
1698563640,0.0
1698563655,0.0
1698563670,0.0
1698563685,0.0
1698563700,0.0
