timestamp,measurements.cluster_pods_count
1698562800,712.0
1698562815,712.0
1698562830,715.0
1698562845,715.0
1698562860,715.0
1698562875,715.0
1698562890,713.0
1698562905,713.0
1698562920,713.0
1698562935,713.0
1698562950,714.0
1698562965,714.0
1698562980,714.0
1698562995,714.0
1698563010,712.0
1698563025,712.0
1698563040,712.0
1698563055,712.0
1698563070,713.0
1698563085,713.0
1698563100,713.0
1698563115,713.0
1698563130,712.0
1698563145,712.0
1698563160,712.0
1698563175,712.0
1698563190,713.0
1698563205,713.0
1698563220,713.0
1698563235,713.0
1698563250,712.0
1698563265,712.0
1698563280,712.0
1698563295,712.0
1698563310,713.0
1698563325,713.0
1698563340,713.0
1698563355,713.0
1698563370,712.0
1698563385,712.0
1698563400,712.0
1698563415,712.0
1698563430,713.0
1698563445,713.0
1698563460,713.0
1698563475,713.0
1698563490,712.0
1698563505,712.0
1698563520,712.0
1698563535,712.0
1698563550,713.0
1698563565,713.0
1698563580,713.0
1698563595,713.0
1698563610,712.0
1698563625,712.0
1698563640,712.0
1698563655,712.0
1698563670,714.0
1698563685,714.0
1698563700,714.0
