timestamp,measurements.cluster_running_pods_on_workers_count
1698562800,401.0
1698562815,401.0
1698562830,402.0
1698562845,401.0
1698562860,401.0
1698562875,401.0
1698562890,398.0
1698562905,398.0
1698562920,398.0
1698562935,398.0
1698562950,399.0
1698562965,398.0
1698562980,398.0
1698562995,398.0
1698563010,398.0
1698563025,398.0
1698563040,398.0
1698563055,398.0
1698563070,399.0
1698563085,398.0
1698563100,398.0
1698563115,398.0
1698563130,398.0
1698563145,398.0
1698563160,398.0
1698563175,398.0
1698563190,399.0
1698563205,398.0
1698563220,398.0
1698563235,398.0
1698563250,398.0
1698563265,398.0
1698563280,398.0
1698563295,398.0
1698563310,399.0
1698563325,398.0
1698563340,398.0
1698563355,398.0
1698563370,398.0
1698563385,398.0
1698563400,398.0
1698563415,398.0
1698563430,399.0
1698563445,398.0
1698563460,398.0
1698563475,398.0
1698563490,398.0
1698563505,398.0
1698563520,398.0
1698563535,398.0
1698563550,399.0
1698563565,398.0
1698563580,398.0
1698563595,398.0
1698563610,398.0
1698563625,398.0
1698563640,398.0
1698563655,398.0
1698563670,399.0
1698563685,398.0
1698563700,398.0
